1,Damien Bunny,vocabulary,candle,?wieca,8177,8180,1,7,hard;incorrect;incorrect;incorrect;incorrect;incorrect;hard,706571971;706705482;706705650;706706247;706706533;706706999;706707122,706571971;706705482;706705650;706706250;706706535;706707001;706707123,;0;0;0;3;2;2;1,8177;8179;8179;8179;8179;8179;8179,0
2,Damien Bunny,vocabulary,can,puszka,8177,8180,1,7,incorrect;hard;incorrect;incorrect;incorrect;incorrect;hard,706571973;706572196;0;0;706706682;706707001;706707123,706571973;706572196;706705747;706706322;706706684;706707058;706707123,;0;0;706705747;706706322;2;57;0,8177;8177;8179;8179;8179;8179;8179,0
3,Damien Bunny,vocabulary,to run,biec,8177,8180,1,7,incorrect;hard;incorrect;incorrect;incorrect;incorrect;hard,706572628;706572636;0;706706354;706706684;706707058;706707124,706572628;706572636;706705981;706706358;706706691;706707067;706707124,;0;0;706705981;4;7;9;0,8177;8177;8179;8179;8179;8179;8179,0
4,Damien Bunny,vocabulary,a bitch,szmata,8177,8180,1,6,hard;incorrect;incorrect;incorrect;incorrect;hard,706572630;706705645;706706234;706706354;706706691;706707120,706572630;706705645;706706242;706706364;706706694;706707122,;0;0;8;10;3;2,8177;8179;8179;8179;8179;8179,0
5,Damien Bunny,vocabulary,to pick sb up from school,odbierać kogoś ze szkoły,8179,8180,1,3,incorrect;incorrect;hard,706707471;706707494;706707496,706707481;706707494;706707497,;10;0;1,8179;8179;8179,0
6,Damien Bunny,vocabulary,to sleep at your friend's,spać u twojej koleżanki,8179,8180,1,1,hard,706707481,706707483,;2,8179,0
7,Damien Bunny,vocabulary,to eat out,jeść na mieście,8179,8180,1,1,hard,706707483,706707489,;6,8179,0
8,Damien Bunny,vocabulary,to spend money on sth,wydawać na coś pieniądze,8179,8180,1,2,incorrect;hard,706707489;706707494,706707491;706707495,;2;1,8179;8179,0
9,Damien Bunny,vocabulary,to be at home,być w domu,8179,8180,1,1,hard,706707491,706707492,;1,8179,0
10,Damien Bunny,vocabulary,to be silent,być cicho,8179,8180,1,2,incorrect;hard,706707492;706707495,706707493;706707496,;1;1,8179;8179,0
11,Damien Bunny,vocabulary,to answer a question,odpowiadać na pytanie,8179,8180,1,1,hard,706707493,706707494,;1,8179,0
12,Damien Bunny,vocabulary,to do your homework,robić pracę domową,8179,8180,1,1,hard,706707675,706707677,;2,8179,0
13,Damien Bunny,vocabulary,to go on vacation,jechać na wakacje,8179,8181,2,1,easy,706707677,706707679,;2,8179,0
14,Damien Bunny,vocabulary,to have no money,nie mieć pieniędzy,8179,8180,1,3,incorrect;incorrect;hard,706707679;706707681;706707683,706707681;706707683;706707685,;2;2;2,8179;8179;8179,0
15,Peter Perkins,vocabulary,to do your homework,robić pracę domową,8179,8180,1,1,hard,706708767,706708769,;2,8179,0
16,Peter Perkins,vocabulary,to go on vacation,jechać na wakacje,8179,8180,1,2,incorrect;hard,706708769;706708771,706708770;706708772,;1;1,8179;8179,0
17,Peter Perkins,vocabulary,to have no money,nie mieć pieniędzy,8179,8180,1,1,hard,706708770,706708771,;1,8179,0
