Damien Bunny,pojawiać się/to show up
Damien Bunny,zostawać dłużej w pracy/to stay at work longer
Damien Bunny,wydawać na coś pieniądze/to spend money on sth
Damien Bunny,niepotrzebne rzeczy/unnecessary things
Damien Bunny,życie/a life
Damien Bunny,zmieniać się/to change
Damien Bunny,zostać zwolnionym/to get fired
Damien Bunny,czytać książkę/to read a book
Damien Bunny,być zmęczonym/to be tired
Damien Bunny,być ciągle zmęczonym/to be constantly tired
Damien Bunny,ćwiczyć (na siłowni)/to work out
Damien Bunny,być w formie/to be in shape
Damien Bunny,być zainteresowanym tematem/to be interested in a subject
Damien Bunny,prasa/the press
Damien Bunny,pisać o czymś/to write about sth
Damien Bunny,przeważnie/mostly
Damien Bunny,opowiadać o czymś/to tell about sth
Damien Bunny,być w stanie coś zrobić/to be able to do sth
Damien Bunny,pomagać komuś/to help sb
Damien Bunny,problem/a problem
Damien Bunny,przechodzić przez ulicę/to cross the street
Damien Bunny,nieznajomy/a stranger
Damien Bunny,pluć na kogoś/to spit at sb
Damien Bunny,mieć alergię na kurz/to be allergic to dust
Damien Bunny,mieć uczulenie na pyłki/to be allergic to pollen
Damien Bunny,być uczulonym na orzechy/to be allergic to nuts
Damien Bunny,być uczulonym na coś/to be allergic to sth
Damien Bunny,mieć alergię na koty/to be allergic to cats
Damien Bunny,dowiadywać się czegoś/to find out about sth
Damien Bunny,kwalifikować się do czegoś/to be eligible for sth
Damien Bunny,kwalifikować się do ubezpieczenia/to be eligible for insurance
Damien Bunny,brać prysznic/to take a shower
Damien Bunny,wymyślać coś/to come up with sth
Damien Bunny,wpadać na pomysł/to come up with an idea
Damien Bunny,być wytrwałym/to be persistent
Damien Bunny,udowadniać swoje racje/to prove your point
Damien Bunny,dowodzić czegoś/to prove sth
Damien Bunny,przypominać coś komuś [2]/to remind sb sth; to remind sth to sb
Damien Bunny,czuć ulgę/to feel relieved
Damien Bunny,być wdzięcznym/to be grateful
Damien Bunny,ostrzegać kogoś o czymś/to warn sb about sth
Damien Bunny,dostawać mandat/to get a ticket
Damien Bunny,zostać zaskoczonym/to get surprised
Damien Bunny,wyprowadzać się/to move out
Damien Bunny,żona/a wife
Damien Bunny,trzymać się od czegoś z dala/to stay away from sth
Damien Bunny,kontynent/a continent
Damien Bunny,głód/hunger
Damien Bunny,na świecie/in the world
Damien Bunny,walczyć o coś/to fight for sth
Damien Bunny,cierpliwość/patience
Damien Bunny,być innowacyjnym/to be innovative
Damien Bunny,płacić za swoje grzechy/to pay for your sins
Damien Bunny,dowiadywać się czegoś/to find out about sth
Damien Bunny,kwalifikować się do czegoś/to be eligible for sth
Damien Bunny,kwalifikować się do ubezpieczenia/to be eligible for insurance
Damien Bunny,brać prysznic/to take a shower
Damien Bunny,wymyślać coś/to come up with sth
Damien Bunny,wpadać na pomysł/to come up with an idea
Damien Bunny,być wytrwałym/to be persistent
Damien Bunny,udowadniać swoje racje/to prove your point
Damien Bunny,dowodzić czegoś/to prove sth
Damien Bunny,przypominać coś komuś [2]/to remind sb sth; to remind sth to sb
Damien Bunny,czuć ulgę/to feel relieved
Damien Bunny,być wdzięcznym/to be grateful
Damien Bunny,ostrzegać kogoś o czymś/to warn sb about sth
Damien Bunny,dostawać mandat/to get a ticket
Damien Bunny,zostać zaskoczonym/to get surprised
Damien Bunny,wyprowadzać się/to move out
Damien Bunny,żona/a wife
Damien Bunny,trzymać się od czegoś z dala/to stay away from sth
Damien Bunny,kontynent/a continent
Damien Bunny,głód/hunger
Damien Bunny,na świecie/in the world
Damien Bunny,walczyć o coś/to fight for sth
Damien Bunny,być zrobionym/to be done
Damien Bunny,uczyć się do egzaminu/to study for an exam
Damien Bunny,poznawać kogoś/to meet sb
Damien Bunny,jechać nad jezioro/to go to the lake
Damien Bunny,przeziębiać się/to catch a cold
Damien Bunny,bać się czegoś/to be afraid of sth
Damien Bunny,przeprowadzać się/to move
Damien Bunny,znajdować nową pracę/to find a new job
Damien Bunny,mieć energię/to have energy
